,date,도매가격
1032,2018-10-04,18808.0
1031,2018-10-05,18555.0
1030,2018-10-08,17680.0
1029,2018-10-10,18678.0
1028,2018-10-11,18400.0
1027,2018-10-12,18252.0
1026,2018-10-15,16929.0
1025,2018-10-16,18096.0
1024,2018-10-17,18290.0
1023,2018-10-18,17494.0
1022,2018-10-19,17192.0
1021,2018-10-22,16269.0
1020,2018-10-23,17661.0
1019,2018-10-24,17277.0
1018,2018-10-25,17095.0
1017,2018-10-26,17072.0
1016,2018-10-29,16080.0
1015,2018-10-30,17484.0
1014,2018-10-31,17568.0
1013,2018-11-01,17878.0
1012,2018-11-02,17779.0
1011,2018-11-05,17588.0
1010,2018-11-06,18242.0
1009,2018-11-07,18013.0
1008,2018-11-08,17927.0
1007,2018-11-09,17714.0
1006,2018-11-12,16533.0
1005,2018-11-13,17802.0
1004,2018-11-14,17508.0
1003,2018-11-15,17189.0
1002,2018-11-16,17006.0
1001,2018-11-19,16624.0
1000,2018-11-20,17509.0
999,2018-11-21,17490.0
998,2018-11-22,17466.0
997,2018-11-23,17036.0
996,2018-11-26,14222.0
995,2018-11-27,17693.0
994,2018-11-28,17623.0
993,2018-11-29,17778.0
992,2018-11-30,17600.0
991,2018-12-03,16585.0
990,2018-12-04,18034.0
989,2018-12-05,17859.0
988,2018-12-06,17848.0
987,2018-12-07,17436.0
986,2018-12-10,16589.0
985,2018-12-11,17881.0
984,2018-12-12,17687.0
983,2018-12-13,17332.0
982,2018-12-14,16972.0
981,2018-12-17,15751.0
980,2018-12-18,17340.0
979,2018-12-19,17053.0
978,2018-12-20,16854.0
977,2018-12-21,16136.0
976,2018-12-24,15899.0
975,2018-12-26,16999.0
974,2018-12-27,17296.0
973,2018-12-28,17239.0
972,2018-12-31,17020.0
971,2019-01-02,18076.0
970,2019-01-03,18296.0
969,2019-01-04,18388.0
968,2019-01-07,17619.0
967,2019-01-08,18668.0
966,2019-01-09,18743.0
965,2019-01-10,18675.0
964,2019-01-11,18019.0
963,2019-01-14,17474.0
962,2019-01-15,18038.0
961,2019-01-16,18011.0
960,2019-01-17,17939.0
959,2019-01-18,17305.0
958,2019-01-21,16544.0
957,2019-01-22,17061.0
956,2019-01-23,17002.0
955,2019-01-24,16847.0
954,2019-01-25,16412.0
953,2019-01-28,17082.0
952,2019-01-29,17883.0
951,2019-01-30,18283.0
950,2019-01-31,18064.0
949,2019-02-01,17502.0
948,2019-02-07,17502.0
947,2019-02-08,18170.0
946,2019-02-11,18070.0
945,2019-02-12,17839.0
944,2019-02-13,17821.0
943,2019-02-14,17524.0
942,2019-02-15,17468.0
941,2019-02-18,16824.0
940,2019-02-19,17269.0
939,2019-02-20,17538.0
938,2019-02-21,17971.0
937,2019-02-22,17414.0
936,2019-02-25,18455.0
935,2019-02-26,18007.0
934,2019-02-27,17918.0
933,2019-02-28,17690.0
932,2019-03-04,15430.0
931,2019-03-05,17798.0
930,2019-03-06,17744.0
929,2019-03-07,17762.0
928,2019-03-08,17386.0
927,2019-03-11,17542.0
926,2019-03-12,17934.0
925,2019-03-13,17308.0
924,2019-03-14,17173.0
923,2019-03-15,16972.0
922,2019-03-18,16277.0
921,2019-03-19,17322.0
920,2019-03-20,17238.0
919,2019-03-21,17285.0
918,2019-03-22,17255.0
917,2019-03-25,17452.0
916,2019-03-26,17523.0
915,2019-03-27,17573.0
914,2019-03-28,17824.0
913,2019-03-29,16978.0
912,2019-04-01,17079.0
911,2019-04-02,17759.0
910,2019-04-03,17797.0
909,2019-04-04,18010.0
908,2019-04-05,17736.0
907,2019-04-08,17691.0
906,2019-04-09,17859.0
905,2019-04-10,17592.0
904,2019-04-11,17406.0
903,2019-04-12,17380.0
902,2019-04-15,16825.0
901,2019-04-16,17496.0
900,2019-04-17,17262.0
899,2019-04-18,17175.0
898,2019-04-19,15458.0
897,2019-04-22,15177.0
896,2019-04-23,17301.0
895,2019-04-24,17104.0
894,2019-04-25,17109.0
893,2019-04-26,16533.0
892,2019-04-29,15422.0
891,2019-04-30,17178.0
890,2019-05-01,17254.0
889,2019-05-02,16827.0
888,2019-05-03,16071.0
887,2019-05-07,14461.0
886,2019-05-08,17476.0
885,2019-05-09,17381.0
884,2019-05-10,17038.0
883,2019-05-13,15592.0
882,2019-05-14,17962.0
881,2019-05-15,17889.0
880,2019-05-16,17983.0
879,2019-05-17,17580.0
878,2019-05-20,16767.0
877,2019-05-21,18149.0
876,2019-05-22,18150.0
875,2019-05-23,18019.0
874,2019-05-24,16733.0
873,2019-05-27,15551.0
872,2019-05-28,18071.0
871,2019-05-29,18043.0
870,2019-05-30,18386.0
869,2019-05-31,17785.0
868,2019-06-03,15710.0
867,2019-06-04,18601.0
866,2019-06-05,18332.0
865,2019-06-06,17088.0
864,2019-06-07,18354.0
863,2019-06-10,15122.0
862,2019-06-11,18243.0
861,2019-06-12,18075.0
860,2019-06-13,17837.0
859,2019-06-14,17981.0
858,2019-06-17,16647.0
857,2019-06-18,18211.0
856,2019-06-19,17713.0
855,2019-06-20,17496.0
854,2019-06-21,17579.0
853,2019-06-24,16246.0
852,2019-06-25,17892.0
851,2019-06-26,17508.0
850,2019-06-27,17480.0
849,2019-06-28,17155.0
848,2019-07-01,18008.0
847,2019-07-02,17949.0
846,2019-07-03,18063.0
845,2019-07-04,18258.0
844,2019-07-05,17774.0
843,2019-07-08,16210.0
842,2019-07-09,18213.0
841,2019-07-10,17600.0
840,2019-07-11,17632.0
839,2019-07-12,17472.0
838,2019-07-15,17339.0
837,2019-07-16,17741.0
836,2019-07-17,17571.0
835,2019-07-18,17489.0
834,2019-07-19,16736.0
833,2019-07-22,15659.0
832,2019-07-23,17738.0
831,2019-07-24,17375.0
830,2019-07-25,17014.0
829,2019-07-26,16564.0
828,2019-07-29,15838.0
827,2019-07-30,17346.0
826,2019-07-31,17455.0
825,2019-08-01,17617.0
824,2019-08-02,17831.0
823,2019-08-05,13439.0
822,2019-08-06,17907.0
821,2019-08-07,17874.0
820,2019-08-08,17715.0
819,2019-08-09,17552.0
818,2019-08-12,15772.0
817,2019-08-13,17926.0
816,2019-08-14,17809.0
815,2019-08-15,17920.0
814,2019-08-16,17215.0
813,2019-08-19,16279.0
812,2019-08-20,18204.0
811,2019-08-21,18321.0
810,2019-08-22,18337.0
809,2019-08-23,17926.0
808,2019-08-26,17656.0
807,2019-08-27,18727.0
806,2019-08-28,18861.0
805,2019-08-29,18795.0
804,2019-08-30,18435.0
803,2019-09-02,18186.0
802,2019-09-03,18691.0
801,2019-09-04,18849.0
800,2019-09-05,18750.0
799,2019-09-06,18050.0
798,2019-09-09,17783.0
797,2019-09-10,18667.0
796,2019-09-11,14596.0
795,2019-09-16,14596.0
794,2019-09-17,19178.0
793,2019-09-18,19266.0
792,2019-09-19,19473.0
791,2019-09-20,19250.0
790,2019-09-23,14246.0
789,2019-09-24,18835.0
788,2019-09-25,18628.0
787,2019-09-26,18227.0
786,2019-09-27,17641.0
785,2019-09-30,14150.0
784,2019-10-01,18045.0
783,2019-10-02,17607.0
782,2019-10-03,20579.0
781,2019-10-04,17734.0
780,2019-10-07,16052.0
779,2019-10-08,18065.0
778,2019-10-09,18085.0
777,2019-10-10,18602.0
776,2019-10-11,18587.0
775,2019-10-14,16675.0
774,2019-10-15,18717.0
773,2019-10-16,18974.0
772,2019-10-17,18713.0
771,2019-10-18,18438.0
770,2019-10-21,17095.0
769,2019-10-22,18525.0
768,2019-10-23,18272.0
767,2019-10-24,17995.0
766,2019-10-25,17869.0
765,2019-10-28,17431.0
764,2019-10-29,18036.0
763,2019-10-30,17725.0
762,2019-10-31,17666.0
761,2019-11-01,17609.0
760,2019-11-04,16963.0
